Journal Title,Publisher,ISSN,ISSN Online,Year Inception,FoR,2022 rating,rating,h_index,impact_factor
Asia-Pacific Financial Markets,Springer International Publishing,1387-2834	,1573-6946	,1994	,3502,C ,C,34,2.6911764705882355
Asia-Pacific Journal of Accounting and Economics,Taylor & Francis Online,1608-1625	,2164-2257	,2000	,3501,B ,B,NA,NA
Asia-Pacific Journal of Business Administration,Emerald Group Publishing,1757-4323	,1757-4331	,2009	,3507,C,C,31,4.1735537190082646
Asia-Pacific Journal of Financial Studies,Wiley-Blackwell Publishing,2041-9945,2041-6156,1980,3502,B,B,26,1.2947368421052632
Asia-Pacific Journal of Human Resources,Wiley-Blackwell Publishing,1038-4111	,1744-7941	,1966	,3505,B,B,57,3.4086021505376345
Asia-Pacific Journal of Risk and Insurance,De Gruyter,2194-606X,2153-3792	,2005	,3502,B ,B,11,0.34782608695652173
Asia-Pacific Management Accounting Journal,Universiti Teknologi MARA (UiTM) Press,1675-3194	,2550-1631	,2006	,3501,C ,C,7,0.42168674698795183
Asia-Pacific Management Review,Elsevier,1029-3132	,2589-8213	,1996	,3507,C,C,41,6.883333333333334
Asia-Pacific Tax Bulletin,International Bureau of Fiscal Documentation,1385-3082	,	,1983	,4801,C ,C,0,0
Asian Academy of Management Journal,Penerbit Universiti Sains Malaysia,1394-2603	,2180-4184	,1996	,3507,C ,C,22,1.7619047619047619
Asian Academy of Management Journal of Accounting and Finance,Asian Academy of Management / Penerbit Universiti Sains Malaysia,1823-4992	,2180-4192	,2005	,3501,C ,C,16,0.7333333333333333
Asian and Pacific Economic Review,ya tai jing ji bian ji bu  ,1000-6052	,	,1985	,3801,C ,C,NA,NA
Asian and Pacific Migration Journal,Scalabrini Migration Center,0117-1968	,	2057-049X,1992	,3599,C ,C,41,0.9322033898305084
Asian Business and Management,Springer International Publishing,1472-4782	,1476-9328	,2002	,3507,C ,C,16,0.9281437125748503
Asian Development Review,MIT Press,0116-1105	,0116-1105	,1983	,3801,C ,C,36,1.7027027027027026
Asian Economic Journal,Wiley-Blackwell Publishing,1351-3958	,1467-8381	,1987	,3801,B ,B,43,0.6567164179104478
Asian Economic Papers,MIT Press,1535-3516	,1536-0083	,2002	,3801,B ,B,38,3.278688524590164
Asian Economic Policy Review,Wiley-Blackwell Publishing,1832-8105	,1748-3131	,2006	,3801,C ,C,36,1.8522727272727273
Asian Economies,Ajia Keizai Kenkyujo,0002-2942	,	,1960	,3801,C ,C,20,0.5
Asian Journal of Accounting and Governance,Universiti Kebangsaan Malaysia (UKM) Press,2180-3838	,	,2010	,3501,C ,C,NA,NA
Asian Journal of Accounting Research,Emerald Group Publishing,2459-9700,2443-4175,2016,3501,C,C,21,4.479166666666667
Asian Journal of Agriculture and Development,Southeast Asian Regional Center for Graduate Study and Research in Agriculture,1656-4383	,2599-3879	,2004	,3899,C,C,18,0.46875
Asian Journal of Business and Accounting,University of Malaysia ,1985-4064 	,2180-3137	,2008	,3501,C ,C,13,0.9393939393939394
Asian Journal of Business Ethics,Springer International Publishing,2210-6723,2210-6731,2012,3507,C,C,17,2.25
Asian Journal of Business Research,Asia Business Research Corporation Limited,2463-4522	,1178-8933	,2011	,3506,C,C,16,0.9795918367346939
Asian Journal of International Law,Cambridge University Press,2044-2513	,2044-2521	,1997	,4801,C ,C,19,0.18110236220472442
Asian Journal of Management Cases,Sage Publications,0972-8201,0973-0621,2004,3501,C,C,9,0.22807017543859648
Asian Journal of Marketing (SING),"Marketing Institute of Singapore and Faculty of Business Administration, National University of Singapore",0218-6101	,	,1992	,3506,C,C,NA,NA
Asian Journal of Political Science,Taylor & Francis Online,0218-5377	,1750-7812	,1993	,3599,B ,B,26,1.1
Asian Journal of Social Science,Elsevier,1568-4849	,1568-5314	,1973	,3599,C ,C,34,0.676056338028169
Asian Journal of Tourism and Hospitality Research,Phillippine e-Journals,1908-8388	,	,2007	,3508,C,C,NA,NA
Asian Population Studies,Taylor & Francis Online,1744-1730	,1744-1749	,2005	,3599,B ,B,35,1.6585365853658536
Asian Review of Accounting,Emerald Group Publishing,1321-7348	,1758-8863	,1992	,3501,B ,B,38,2.5625
