Journal Title,Publisher,ISSN,ISSN Online,Year Inception,FoR,2022 rating,rating,h_index,impact_factor
Derivatives & Financial Instruments,International Bureau of Fiscal Documentation,1389-1863	,	,1999	,3502,C ,C,NA,NA
Design Studies,Elsevier ,0142-694X	,1872-6909	,1979	,3599,A ,A,129,3.5952380952380953
Developing Economies,Wiley-Blackwell Publishing,0012-1533	,1746-1049	,1962	,3801,B ,B,54,0.5222222222222223
Development and Change,Wiley-Blackwell Publishing,0012-155X	,1467-7660	,1969	,3801,B ,B,129,3.088235294117647
Development and Learning in Organizations,Emerald Group Publishing,1477-7282	,1758-6097	,1998	,3505,C ,C,31,0.625
Development Policy Review,Wiley-Blackwell Publishing,0950-6764	,1467-7679	,1966	,3801,B ,B,90,2.045751633986928
Development Southern Africa,Taylor & Francis Online,0376-835X	,1470-3637	,1984	,3801,C ,C,62,1.8515625
"Digital Policy, Regulation and Governance",Emerald Publishing,2398-5046,2398-5038,1999	,4609,B ,B,25,2.526315789473684
Disasters,Wiley-Blackwell Publishing,0361-3666	,1467-7717	,1977	,3599,A ,A,97,2.6587301587301586
Discourse & Communication,Sage Publications,1750-4813	,1750-4821	,2007	,3599,A ,A,42,1.896103896103896
Discourse & Society,Sage Publications,0957-9265	,1460-3624	,1990	,3599,A ,A,105,2.272727272727273
Discourse Studies,Sage Publications,1461-4456	,1461-7080	,1999	,3599,A ,A,83,0.7835820895522388
Duke Journal of Comparative and International Law,Duke University School of Law,1053-6736	,2328-9708	,1986	,4801,A ,A,NA,NA
Duke Law Journal,Duke University Press,0012-7086	,NA,1957	,4801,B ,B,51,0.12
Duquesne Business Law Journal,Duquesne University School of Law,1548-372X	,	,1999	,4801,C ,C,NA,NA
Dynamic Econometric Models,Nicolaus Copernicus University Press,1234-3862	,2450-7067	,1994	,3802,C ,C,7,0
Dynamic Games and Applications,Springer International Publishing,2153-0785	,2153-0793	,2011	,3803,B,B,33,2.0970873786407767
E-Service Journal,Indiana University Press,1528-8226	,1528-8234	,2001	,3506,B ,B,35,0.2
Eastern Economic Journal,Springer International Publishing,0094-5056	,1939-4632	,1974	,3801,B ,B,46,1.1403508771929824
Eastern European Economics,Taylor & Francis Online,0012-8775	,1557-9298	,1962	,3801,B ,B,35,1.6885245901639345
EC Tax Review,Kluwer Law International ,0928-2750	,	,1990	,4801,B ,B,14,0.23809523809523808
Ecological Economics,Elsevier,0921-8009	,1873-6106	,1989	,3899,A,A,287,7.065079365079365
Ecology,Wiley-Blackwell Publishing,0012-9658	,1939-9170	,1920	,3599,A ,A,461,3.9141193595342068
Econ Journal Watch,Fraser Institute ,1933-527X	,	,2004	,3801,B ,B,22,0.5714285714285714
Econometric Reviews,Taylor & Francis Online,0747-4938	,1532-4168	,1982	,3802,A ,A,106,0.73
Econometric Theory,Cambridge University Press,0266-4666	,1469-4360	,1985	,3802,A* ,A*,131,0.7890625
Econometrica,Wiley-Blackwell Publishing,0012-9682	,1468-0262	,1933	,3802,A* ,A*,508,7.487704918032787
Econometrics,MDPI,2225-1146	,	,2013	,3802,B,B,317,11.598802395209582
Econometrics and Statistics,Elsevier,2452-3062,NA,2017,3802,B,B,20,1.232394366197183
Econometrics Journal,Oxford University Press,1368-4221	,1368-423X	,1998	,3802,A ,A,317,11.598802395209582
Economia,Pontificia Universidad Catolica del Peru,0254-4415	,2304-4306‎	,1977	,3803,C ,C,29,0.1111111111111111
Economia Internazionale,Camera di Commercio di Genova,0012-981X	,	,1948	,3801,C ,C,15,0.125
"Economia, the Journal of Latin American and Caribbean Economic Association (LACEA)",Brookings Press,1529-7470	,1533-6239	,2000	,3801,B ,B,NA,NA
Economic Affairs,Wiley-Blackwell Publishing,0265-0665	,1468-0270	,1980	,3801,C ,C,35,0.4426229508196721
Economic Analysis and Policy,Elsevier,0313-5926	,2204-2296	,1970	,3801,B,B,72,9.621890547263682
Economic and Business Review,"Faculty of Economics, University of Ljubljana, Slovenia",1580-0466	,2335-4216	,1999	,3801,C ,C,17,0.5609756097560976
Economic and Industrial Democracy: an international journal,Sage Publications,0143-831X	,1461-7099	,1980	,3801,A ,A,NA,NA
Economic and Labour Market Review,Springer Nature,1751-8326	,1751-8334	,2007	,3801,C ,C,NA,NA
Economic and Political Weekly,Sameeksha Trust,0012-9976	,2349-8846,1966	,3801,B ,B,46,0.21875
Economic and Social Review,Economic and Social Studies Ltd,0012-9984	,	,1969	,3801,B ,B,33,0.2857142857142857
Economic Change and Restructuring,Springer International Publishing,1573-9414	,1574-0277	,1961	,3801,B ,B,41,4.608974358974359
Economic Computation and Economic Cybernetics Studies and Research,Academy of Economic Studies,0424-267X	,NA,1966	,3899,C ,C,15,0.9487179487179487
Economic Development and Cultural Change,The University of Chicago Press,0013-0079	,1539-2988	,1952	,3801,A ,A,147,2.265957446808511
Economic Development Quarterly,Sage Publications,0891-2424	,1552-3543	,1987	,3801,B ,B,72,1.0588235294117647
Economic Geography,Taylor & Francis Online,0013-0095	,1944-8287	,1925	,3801,A ,A,160,6.279411764705882
Economic History of Developing Regions,Taylor & Francis Online,2078-0389	,2078-0397	,1982	,3801,C ,C,24,0.825
Economic Inquiry,Wiley-Blackwell Publishing,0095-2583	,1465-7295	,1962	,3801,A ,A,144,2.085227272727273
Economic Issues,Nottingham Trent University,1363-7029	,	,1996	,3801,B ,B,105,0.9619565217391305
Economic Modelling,Elsevier,0264-9993	,1873-6122	,1984	,3801,A ,A,129,4.948680351906158
Economic Notes,Wiley-Blackwell Publishing,0391-5026	,1468-0300	,1972	,3801,B ,B,37,0.5476190476190477
Economic Papers: a journal of applied economics and policy,Wiley-Blackwell Publishing,NA,1759-3441	,1941	,3801,B ,B,NA,NA
Economic Policy: a European forum,Oxford University Press,0266-4658	,1468-0327	,1985	,3801,A ,A,NA,NA
Economic Policy / Ekonomicheskaya Politika,ANO Editorial Office of the Journal Economic Policy,1994-5124,2411-2658,2013	,3801,C,C,NA,NA
Economic Quarter / Trimestre Economico,Fondo de Cultura Economica (Economic Culture Fund),0041-3011	,2448-718X	,1934	,3801,B ,B,NA,NA
Economic Review / Revue Economique,Presses de Sciences Po,0035-2764	,1950-6694	,1950	,3801,B ,B,NA,NA
Economic Sciences,Publishers ART,1505-4683	,	,1985	,3801,C ,C,87,6.6923076923076925
Economic Studies / Estudios de Economia,Andros,0304-2758	,0718-5286	,1973	,3801,C ,C,NA,NA
Economic Studies Journal,Economic Research Institute at BAS,0205-3292	,	,1998	,3801,C ,C,69,2.3312101910828025
Economic Systems,Elsevier Science ,0939-3625	,1878-5433	,1991	,3899,B,B,76,2.450980392156863
Economic Systems Research,Taylor & Francis Online,0953-5314	,1469-5758	,1989	,3899,B,B,76,2.450980392156863
Economic Theory,Springer International Publishing,0938-2259	,1432-0479	,1991	,3803,A*,A*,242,1.9751552795031055
Economic Theory Bulletin,Springer International Publishing,2196-1085,2196-1093,2014,3803,B,B,13,0.5227272727272727
Economic Thought Journal,American Economic Association,0205-1990	,	,1996	,3899,C ,C,35,0.6377952755905512
Economica,Wiley-Blackwell Publishing,0013-0427	,1468-0335	,1921	,3801,A ,A,238,1.680672268907563
"Economics: The Open Access, Open Assessment E-journal",Universitaet Kiel,1864-6042	,	,2007	,3801,B ,B,NA,NA
Economics & Politics,Wiley-Blackwell Publishing,0954-1985	,1468-0343	,1989	,3801,A,A,76,1.3783783783783783
Economics and Applied Informatics,Galati University Press,1584-0409	,2344-441X	,2003	,3899,C ,C,2,0
Economics and Business Review,Poznan University of Economics Press,2392-1641	,2450-0097	,2001	,3801,C ,C,15,1.125
Economics and Finance in Indonesia,Institute for Economic and Social Research ,0126-155X	,2442-9260	,1953	,3801,C ,C,8,0.6470588235294118
Economics and Human Biology,Elsevier,1570-677X	,1873-6130	,2003	,3801,A ,A,79,2.4299065420560746
Economics and Philosophy,Cambridge University Press,0266-2671	,1474-0028	,1985	,3801,A ,A,71,1.4805194805194806
Economics and Policy of Energy and the Environment,Franco Angeli Edizioni,2280-7659	,2280-7667	,1978	,3899,C ,C,11,0.3
Economics Bulletin,Vanderbilt University,1545-2921	,	,2001	,3801,C ,C,34,0.3184713375796178
Economics Letters,Elsevier ,0165-1765	,1873-7374	,1978	,3801,A,A,183,2.7236180904522613
Economics of Education Review,Elsevier ,0272-7757	,1873-7382	,1981	,3801,A,A,148,2.3511904761904763
Economics of Energy & Environmental Policy,International Association for Energy Economics,2160-5882,2160-5890,2012,3801,B,B,31,2.111111111111111
Economics of Governance,Springer International Publishing,1435-6104	,1435-8131	,2000	,3801,B ,B,44,1.4634146341463414
Economics of Innovation and New Technology,Taylor & Francis Online,1043-8599	,1476-8364	,1990	,3801,B ,B,87,2.652173913043478
Economics of Transportation,Elsevier,2212-0122	,	,2012	,3509,B ,B,29,2.948717948717949
"Economics, Management, and Financial Markets",Addleton Academic Publishers,1842-3191	,1938-212X	,2006	,3801,C ,C,23,5.681818181818182
Economies,MDPI,NA,2227-7099,2013,3801,C,C,90,1.4833333333333334
Economists' Voice,De Gruyter,2194-6167	,1553-3832	,2004	,3801,B ,B,22,0.6486486486486487
Economy and Society,Taylor & Francis Online,0308-5147	,1469-5766	,1972	,3801,A ,A,121,3.716417910447761
"EDPACS: The EDP Audit, Control, and Security Newsletter",Taylor & Francis Online,0736-6981,1936-1009,1973,3501,C,C,NA,NA
Education Economics,Taylor & Francis Online,0964-5292	,1469-5782	,1993	,3801,B ,B,65,1.183673469387755
Education Finance and Policy,MIT Press,1557-3060,1557-3079,2006,3801,A,A,52,2.6607142857142856
Educational and Psychological Measurement,Sage Publications,0013-1644	,1552-3888	,1941	,3505,A,A,173,2.1140350877192984
Educational Management Administration & Leadership,Sage Publications,1741-1432	,1741-1440	,1972	,3505,B ,B,73,2.830188679245283
eJournal of Tax Research,Australian School of Taxation and Business Law,1448-2398	,	,2003	,4801,A ,A,NA,NA
Ekonomia,University of Cyprus,1025-5508	,1013-3224	,	,3803,C ,C,18,0.9076923076923077
Electronic Commerce Research,Springer International Publishing,1389-5753	,1572-9362	,2001	,4609,A ,A,110,6.510989010989011
Electronic Commerce Research and Applications,Elsevier ,1567-4223	,1873-7846	,2002	,4609,C ,C,110,6.510989010989011
Electronic Communication Law Review,Kluwer Law International ,1570-2294	,	,1994	,4801,C ,C,2,0
Electronic Journal of Evolutionary Modeling and Economic Dynamics,Universite Montesquieu Bordeaux IV,1298-0137	,	,2000	,3899,C ,C,NA,NA
Electronic Journal of IS Evaluation,Academic Conferences and Publishing International,1566-6379	,	,2002	,4609,B ,B,NA,NA
Electronic Journal of Knowledge Management,Academic Conferences and Publishing International,1479-4411	,	,2003	,4609,C ,C,23,0.8048780487804879
Electronic Journal of Probability,Institute of Mathematical Statistics,NA,1083-6489,1996	,4905,A ,A,69,1.2160493827160495
Electronic Journal of Information Systems in Developing Countries,Wiley-Blackwell Publishing,1681-4835	,	,2000	,4609,C ,C,NA,NA
Electronic Markets,Springer Nature,1019-6781	,1422-8890	,1991	,4609,A ,A,NA,NA
Emergence: complexity and organization,ISCE Publishing,1521-3250	,NA,1999	,3507,B ,B,NA,NA
Emerging Markets Finance and Trade,Taylor & Francis Online,1540-496X	,1558-0938	,2008	,3502,B ,B,NA,NA
Emerging Markets Review,Elsevier ,1566-0141	,1873-6173	,2000	,3502,A ,A,82,6.103448275862069
Empirica,Springer International Publishing,0340-8744	,1573-6911	,1974	,3801,C ,C,48,2.4285714285714284
Empirical Economics,Springer International Publishing,0377-7332	,1435-8921	,1976	,3801,A ,A,96,2.1263736263736264
Empirical Economics Letters,Dr. Mohammad A. Wadud,1681-8997	,	,2002	,3801,C ,C,NA,NA
Employee Relations,Emerald Group Publishing,0142-5455	,1758-7069	,1979	,3505,B ,B,83,3.5170068027210886
Employee Relations Law Journal,"Aspen Publishers, Inc.",0098-8898	,	,1975	,4801,B ,B,4,0
Employee Responsibilities and Rights Journal,Springer International Publishing,0892-7545	,1573-3378	,1988	,3505,C ,C,57,1.7297297297297298
Energy and Environment,Sage Publications,0958-305X	,2048-4070	,1990	,3599,C ,C,53,4.127906976744186
Energy Economics,Elsevier ,0140-9883	,1873-6181	,1979	,3801,A*,A*,240,15.031606672519754
Energy Journal,International Association for Energy Economics,0195-6574	,1944-9089	,1980	,3801,A ,A,277,7.88801756587202
Energy Policy,Elsevier,0301-4215	,1873-6777	,1973	,3599,A,A,306,10.592819614711033
"Energy Sources, Part B: Economics, Planning, and Policy",Taylor & Francis Online,1556-7249	,1556-7257	,2006	,3801,C ,C,56,3.6216216216216215
Energy Studies Review,"DeGroote School of Business, McMaster University",0843-4379	,	,1980	,3899,C ,C,18,0
Engineering Economics,Kaunas University of Technology,1392-2785	,2029-5839	,1989	,3801,B ,B,34,0
Engineering Economist,Taylor & Francis Online,0013-791X	,1547-2701	,1955	,3801,C ,C,50,0.7941176470588235
"Engineering, Construction and Architectural Management",Emerald Group Publishing,0969-9988	,1365-232X	,1994	,3504,A ,A,84,3.808193668528864
Enometrica,University of Macarata,1974-4730	,	,2008	,3899,C ,C,NA,NA
Enterprise and Society,Cambridge University Press,1467-2227	,1467-2235	,2000	,3505,A ,A,NA,NA
Enterprise Development & Microfinance,Practical Action Publishing,1755-1978	,1755-1986	,1990	,3801,C ,C,18,0.22033898305084745
Enterprise Governance eJournal,Bond Faculty of Law,2651-9615	,	,2005	,4801,C ,C,5,0
Enterprise Information Systems,Taylor & Francis Online,1751-7575	,1751-7583	,2007	,4609,A ,A,63,4.8979591836734695
Entertainment Law Review,Sweet & Maxwell ,0959-3799	,	,1990	,4801,B ,B,10,0.25
Entrepreneurial Business Law Journal,"Ohio State University, Moritz College of Law",1932-4480	,1932-4472	,2006	,4801,C ,C,NA,NA
Entrepreneurship and Regional Development,Taylor & Francis Online,0898-5626	,1464-5114	,1989	,3507,A ,A,125,3.831460674157303
Entrepreneurship Research Journal,Walter de Gruyter GmbH,2194-6175	,2157-5665	,2011	,3507,B ,B,32,1.8761061946902655
Entrepreneurship Theory and Practice,Sage Publications,1042-2587	,1540-6520	,1976	,3507,A* ,A*,261,8.0234375
Environment and Development Economics,Cambridge University Press,1355-770X	,1469-4395	,1996	,3801,B ,B,90,1.7777777777777777
Environment and Planning A: Economy and Space,Sage Publications ,0308-518X	,1472-3409	,1968	,3599,A* ,A*,NA,NA
Environment and Planning B: planning and design,Sage Publications ,0265-8135	,1472-3417	,1969	,3599,A* ,A*,123,0
Environment and Planning C: politics and space,Sage Publications ,0263-774X	,	,1983	,3599,B ,B,37,2.165644171779141
Environment and Planning D: society and space,Sage Publications ,0263-7758	,1472-3433	,1983	,3599,A ,A,142,3.8981481481481484
Environment and Urbanization Asia,Sage Publications ,0975-4253,0976-3546,2009,3599,C,C,NA,NA
Environmental and Ecological Statistics,Springer International Publishing,1352-8505	,1573-3009	,1994	,4905,A ,A,66,3.2987012987012987
Environmental and Planning Law Journal,Thomson Reuters,0813-300X	,	,1984	,4801,B ,B,7,0.6666666666666666
Environmental and Resource Economics,Springer International Publishing,0924-6460	,1573-1502	,1991	,3801,A,A,36,1.6470588235294117
Environmental Economics and Policy Studies,Springer International Publishing,1432-847X	,1867-383X	,1998	,3801,B,B,38,2.129032258064516
Environmental Education Research,Taylor & Francis Online,1350-4622	,1469-5871	,1995	,3599,A ,A,111,3.066945606694561
Environmental Innovation and Societal Transitions,Elsevier,NA,2210-4224,2011,3599,B,B,88,6.380487804878049
Environmental Management,Springer International Publishing,0364-152X	,1432-1009	,1977	,3507,C ,C,258,9.18974686236971
Environmetrics,Wiley-Blackwell Publishing,1180-4009	,1099-095X	,1990	,4905,B ,B,78,1.3129770992366412
"Equality, Diversity and Inclusion",Emerald Group Publishing,2040-7149	,2040-7157	,1981	,3505,B ,B,43,2.0930232558139537
Erasmus Journal for Philosophy and Economics,Erasmus University,1876-9098	,	,2008	,3899,C ,C,18,0.6571428571428571
Erasmus Law and Economics Review,Erasmus Law and Economics Students Society,1824-3886	,	,2004	,4801,C ,C,NA,NA
ESAIM: Probability and Statistics,EDP Sciences,1292-8100	,1262-3318	,1997	,4905,C ,C,40,0.6285714285714286
Essays in Economic & Business History,The Economic and Business History Society,0896-226X,2376-9459,1979,3801,B,B,3,0
Estudos Economicos,Universidade de Sao Paulo,0101-4161	,0101-4161	,1970	,3801,C ,C,7,0
Ethics and Economics,University of Versailles,1639-1306	,	,2003	,3899,C ,C,7,0
Ethics and Information Technology,Springer International Publishing,1388-1957	,1572-8439	,1999	,4609,C ,C,81,4.171428571428572
"Ethics: an international journal of social, political, and legal philosophy",The University of Chicago Press,0014-1704	,1539-297X	,1888	,3507,A ,A,NA,NA
Eurasian Business Review,Springer International Publishing,1309-4297	,2147-4281	,2011	,3801,C ,C,36,4.88
Eurasian Economic Review,Springer International Publishing,1309-422X,2147-429X,2011,3801,C,C,26,3.5090909090909093
Eurasian Geography and Economics,Taylor & Francis Online,1538-7216	,1938-2863	,1960	,3899,B ,B,58,2.351063829787234
Eurasian Journal of Business and Economics,Ala-Too International University,1694-5948,1694-5972,2008,3501,C,C,18,1.2380952380952381
EURO Journal on Transportation and Logistics,Springer International Publishing,2192-4376	,2192-4384	,2012	,3509,B ,B,36,2.25
EuroChoices,Wiley-Blackwell Publishing,	,1746-692X	,2001	,3801,C ,C,23,1.6923076923076923
EuroMed Journal of Business,Emerald Group Publishing,1450-2194	,1758-888X	,2006	,3507,C,C,40,4.23469387755102
Europe-Asia Studies,Taylor & Francis Online,0966-8136	,1465-3427	,1949	,3599,C ,C,74,0.9331395348837209
European Actuarial Journal,Springer International Publishing,2190-9733	,2190-9741	,2011	,3502,B ,B,24,1
European Business Law Review,Kluwer Law International ,0959-6941	,1875-841X	,1988	,4801,C ,C,19,0.5102040816326531
European Business Organization Law Review,Springer Nature,1566-7529	,1741-6205	,2000	,4801,B ,B,36,2.1343283582089554
European Business Review,Emerald Group Publishing,0955-534X	,1758-7107	,1989	,3507,B ,B,70,4.088235294117647
European Company Law,Kluwer Law International ,1572-4999	,1875-6530	,2002	,4801,C ,C,10,0.24528301886792453
European Competition Journal,Taylor & Francis Online,1744-1056	,1757-8396	,2005	,4801,C ,C,23,1.1764705882352942
European Competition Law Review,Sweet & Maxwell ,0144-3054	,	,1980	,4801,A ,A,9,0
European Economic Letters,European Economics Letters Groups,2323-5233	,2323-5233	,2012	,3801,C ,C,NA,NA
European Economic Review,Elsevier,0014-2921	,1873-572X	,1969	,3801,A* ,A*,235,3.8533333333333335
European Financial Management,Wiley-Blackwell Publishing,1354-7798	,1468-036X	,1995	,3502,A ,A,98,2.5
European Intellectual Property Review,Sweet & Maxwell ,0142-0461	,1749-5083	,1978	,4801,A ,A,14,0
European Journal of Communication,Sage Publications,0267-3231	,1460-3705	,1986	,3599,B,B,96,0.8792270531400966
European Journal of Comparative Economics,European Association for Comparative Economics Systems / LIUC University Press,1824-2979	,	,2004	,3899,B ,B,11,0
European Journal of Development Research,Springer International Publishing,0957-8811	,1743-9728	,1989	,3801,B ,B,74,2.5281385281385282
European Journal of Economics and Economic Policies: Intervention,Edward Elgar Publishing,2052-7764,2052-7772	,2004	,3801,C ,C,NA,NA
European Journal of Government and Economics,Europa Grande,2254-7088	,	,2012	,3899,C ,C,10,0.5769230769230769
European Journal of Health Economics,Springer International Publishing,1618-7598	,1618-7601	,2002	,3801,A,A,79,3.296774193548387
European Journal of Industrial Relations,Sage Publications,0959-6801	,1461-7129	,1995	,3505,A,A,63,2.3863636363636362
European Journal of Information Systems,Taylor & Francis Online,0960-085X	,1476-9344	,1991	,4609,A* ,A*,142,7.5
European Journal of Innovation Management,Emerald Group Publishing,1460-1060	,1758-7115	,1998	,3507,C ,C,97,5.240816326530612
European Journal of International Law,Oxford University Press ,0938-5428	,1464-3596	,1990	,4801,A,A,106,0.6685714285714286
European Journal of International Management,Inderscience,1751-6757 ,1751-6765,2007	,3507,C ,C,32,0.3602150537634409
European Journal of International Relations,Sage Publications,1354-0661	,1460-3713	,1995	,3599,A ,A,117,2.8152173913043477
European Journal of Law and Economics,Springer International Publishing,0929-1261	,1572-9990	,1994	,4801,C ,C,49,1.3209876543209877
European Journal of Management Studies,Emerald Group Publishing,2183-4172,2635-2648,1993	,3507,C ,C,4,0.3137254901960784
European Journal of Marketing,Emerald Group Publishing,0309-0566	,1758-7123	,1967	,3506,A*,A*,208,4.367588932806324
European Journal of Operational Research,Elsevier,0377-2217	,1872-6860	,1977	,3507,A* ,A*,362,6.897209985315712
European Journal of Personality,Wiley-Blackwell Publishing,0890-2070,1099-0984,1987,3507,A,A,133,3.591666666666667
European Journal of Political Economy,Elsevier ,0176-2680	,1873-5703	,1985	,3801,A,A,130,2.949438202247191
European Journal of Political Research,Wiley-Blackwell Publishing,0304-4130	,1475-6765	,1973	,3599,A ,A,155,3.5369127516778525
European Journal of Population,Springer International Publishing,0168-6577	,1572-9885	,1985	,3599,B ,B,77,2.0428571428571427
European Journal of Psychological Assessment,Hogrefe Publishing Corp ,1015-5759	,2151-2426	,1985	,3507,B ,B,90,3.5789473684210527
European Journal of Public Health,Oxford University Press ,1101-1262	,1464-360X	,1991	,3599,B ,B,129,0.4058882737795672
European Journal of Social Psychology,Wiley-Blackwell Publishing,0046-2772	,1099-0992	,1971	,3507,A ,A,177,2.815668202764977
European Journal of Sociology,Cambridge University Press,0003-9756	,1474-0583	,1960	,3507,A ,A,25,1.9866666666666666
European Journal of the History of Economic Thought,Taylor & Francis Online,0967-2567	,1469-5936	,1993	,3803,B,B,33,0.5067567567567568
European Journal of Training and Development,Emerald Group Publishing,2046-9012	,NA,1977	,3505,C ,C,45,2.6859504132231407
European Journal of Transport and Infrastructure Research,Delft University of Technology,1567-7133	,1567-7141	,2000	,3509,B ,B,9,0
European Journal of Work and Organizational Psychology,Taylor & Francis Online,1359-432X	,1464-0643	,1991	,3507,A,A,132,4.681034482758621
European Law Journal,Wiley-Blackwell Publishing,1351-5993	,1468-0386	,1995	,4801,B ,B,79,1.706896551724138
European Law Review,Sweet & Maxwell ,0307-5400	,	,1975	,4801,A ,A,31,1.380952380952381
European Management Journal,Elsevier,0263-2373	,1873-5681	,1982	,3507,B,B,153,7.4941176470588236
European Management Review,Wiley-Blackwell Publishing,1740-4754	,1740-4762	,2004	,3507,C,C,66,3.2672413793103448
European Review of Agricultural Economics,Oxford University Press ,0165-1587	,1464-3618	,1973	,3801,A ,A,96,2.9555555555555557
European Review of Economic History,Oxford University Press ,1361-4916	,1474-0044	,1997	,3801,A,A,62,1.36
European Sport Management Quarterly,Taylor & Francis Online,1618-4742	,1746-031X	,2001	,3504,A,A,66,3.267175572519084
European Taxation,International Bureau of Fiscal Documentation,0014-3138	,	,1961	,4801,B ,B,12,0.004807692307692308
European Transport / Trasporti Europei,Giordano Editore,1825-3997	,2283-5520	,1995	,3509,C ,C,NA,NA
European Transport Law,Wijfells,0014-3154	,	,1966	,4801,C ,C,2,0
European Urban and Regional Studies,Sage Publications,0969-7764	,1461-7145	,1994	,3599,A ,A,80,2.5
Evaluation,Sage Publications,1356-3890	,1461-7153	,1995	,3507,B ,B,110,1.9619047619047618
Evaluation Review,Sage Publications,0193-841X,1552-3926,1977	,3599,A ,A,89,1.650943396226415
Event Management,Cognizant Communication Corporation,1525-9951	,1943-4308	,1993	,3508,A,A,56,1.3313253012048192
Evidence-based HRM,Emerald Group Publishing,2049-3983	,2049-3991	,2013	,3505,B,B,21,1.873015873015873
Experimental Economics,Springer International Publishing,1386-4157	,1573-6938	,1998	,3801,A* ,A*,96,2.3877551020408165
Expert Review of Pharmacoeconomics & Outcomes Research,Taylor & Francis Online,1473-7167	,1744-8379	,2001	,3801,C ,C,67,1.9073170731707316
Expert Systems with Applications,Elsevier ,0957-4174	,1873-6793	,1990	,4609,C ,C,282,8.90968848242355
Explorations in Economic History,Elsevier,0014-4983	,1090-2457	,1963	,3801,A ,A,89,2.890909090909091
Facilities,Emerald Group Publishing,0263-2772	,1758-7131	,1983	,3504,B ,B,69,1.7653061224489797
Facta Universitatas: Economics and Organization,University of Nis,0354-4699,2406-050X,1993,3501,C,C,NA,NA
Faith and Economics,American Theological Libraries Association ,0896-307X	,	,	,3899,B ,B,NA,NA
Family Business Review,Sage Publications,0894-4865	,1741-6248	,1988	,3507,A,A,162,8.517241379310345
Farm and Business - The Journal of the Caribbean Agro-Economic Society,Caribbean Agro-Economic Society,1019-035X	,	,1992	,3899,C ,C,NA,NA
Federal Law Review,Australian National University ,0067-205X	,	,1964	,4801,A* ,A*,22,1
Feminist Economics,Taylor & Francis Online,1354-5701	,1466-4372	,1995	,3801,A ,A,87,4.311111111111111
FIIB Business Review,Sage Publications,2319-7145‎,2455-2658,2014	,3507,C ,C,18,2.9064327485380117
Finance,Association Francaise de Finance,0752-6180	,	,1980	,3502,C ,C,606,9.400990099009901
Finance and Stochastics,Springer International Publishing,0949-2984	,1432-1122	,1996	,3502,A ,A,103,1.4680851063829787
Finance India,Indian Institute of Finance ,0970-3772	,	,1987	,3502,C ,C,NA,NA
Finance Research Letters,Elsevier,1544-6123	,1544-6131	,2004	,3502,A,A,119,9.307359307359308
Financial Accountability and Management,Wiley-Blackwell Publishing,0267-4424	,1468-0408,1985	,3501,A ,A,1,0.05319148936170213
Financial Analysts Journal,Taylor & Francis Online,0015-198X	,1938-3312	,1945	,3502,A ,A,156,4.533333333333333
Financial History Review,Cambridge University Press,0968-5650	,1474-0052	,1994	,3502,B ,B,34,0.1702127659574468
Financial Management,Wiley-Blackwell Publishing,0046-3892	,1755-053X	,1972	,3502,A ,A,136,2.3125
Financial Markets and Portfolio Management,Springer International Publishing,1934-4554	,2373-8529	,1987	,3502,B ,B,37,1.6538461538461537
"Financial Markets, Institutions and Instruments",Wiley-Blackwell Publishing,0963-8008	,1468-0416	,1992	,3502,B ,B,NA,NA
Financial Planning Research Journal,Griffith University on behalf of FPA Australia,2206-1355	,	,2015	,3502,C ,C,NA,NA
Financial Reporting,Franco Angeli,2036-671X,2036-6779,2011,3501,C,C,36,3.754491017964072
"Financial Reporting, Regulation & Governance",NA,1449-2318	,1449-2318	,2004	,3501,C ,C,NA,NA
Financial Review (US),Wiley-Blackwell Publishing,0732-8516	,1540-6288	,1969	,3502,A ,A,NA,NA
Financial Services Newsletter,LexisNexis,1035-2155	,1447-137X	,1985	,4801,C ,C,NA,NA
Financial Services Review,Academy of Financial Services - Elsevier,1057-0810	,1873-5673	,1992	,3502,B ,B,35,0.3333333333333333
Financijska Teorija i Praksa,Institute of Public Finance,1332-3970	,1333-9354	,1977	,3801,C ,C,NA,NA
Finnish Economic Papers,Finnish Economic Association,0784-5197	,1798-7423	,1988	,3801,B ,B,14,0
First Monday,University of Illinois Press,1396-0466	,	,1996	,4609,B ,B,95,1.0149253731343284
Fiscal Studies,Wiley-Blackwell Publishing,0143-5671	,1475-5890	,1979	,3801,B ,B,74,3.1343283582089554
Flexible Services and Manufacturing Journal,Springer International Publishing,1936-6582	,1936-6590	,1988	,3507,C ,C,46,2.3580246913580245
Food Policy,Elsevier ,0306-9192	,1873-5657	,1975	,3801,B ,B,168,7.463917525773196
Food Quality and Preference,Elsevier,0950-3293	,	,1988	,3506,A,A,165,5.457038391224863
Fordham Journal of Corporate & Financial Law,Fordham Law School,1532-303X	,	,1996	,4801,B ,B,11,0
Foreign Affairs,Council on Foreign Relations,0015-7120	,1665-1707	,1910	,3599,A* ,A*,291,0
Foreign Policy (Washington),"National Affairs, Inc. ",0015-7228	,1945-2276	,1971	,3599,A* ,A*,NA,NA
Foreign Trade Review,Sage Journals,0015-7325,0971-7625,1966	,3801,B,B,18,0.9571428571428572
Foresight,Emerald,1463-6689,1465-9832,1999,3599,C,C,50,2.9174311926605503
Forest Policy and Economics,Elsevier,1389-9341	,1872-7050	,2000	,3801,B,B,98,3.997093023255814
